Snap Crackle,,,,,,,,,
,,if,else if,else if,else,,,,
i,i<=maxValue,i % 2 !== 0 && i % 5 === 0,i % 5 === 0,i % 2 !== 0,i,i++,return,,
1,-,-,-,-,-,-,-,,
1,true,-,-,-,-,-,-,,
1,true,false,false,true,-,1+1,-,,
2,true,false,false,false,true,2+1,-,,
3,true,false,false,true,-,3+1,-,,
4,true,false,false,false,true,4+1,-,,
5,true,true,-,-,-,5+1,-,,
6,true,false,false,false,true,6+1,-,,
7,true,false,false,true,-,7+1,-,,
8,true,false,false,false,true,8+1,-,,
9,true,false,false,true,-,9+1,-,,
10,true,false,true,-,-,10+1,-,,
11,true,false,false,true,-,11+1,-,,
12,true,false,false,false,true,stop,"Snap, 2, Snap, 4, SnapCrackle, 6, Snap, 8, Snap, Crackle, Snap, 12",,
,,,,,,,,,
---------------------,------------------,-------------------------------,-----------------,------------------,------------------,------------------,------------------------------------,------------------,------------------------------------------------------------------------------------------------------------------------------------
,,,,,,,,,
Snap Crackle Prime,,,,,,,,,
,,"if ",if,else if,"else if ",else -if,else,,snapCracklePrime
"i ",i<=maxValue,i % 2 !== 0 && i % 3 !== 0 && i !== 1) || i == 2 || i == 3,i % 2 !== 0 && i % 5 === 0,i % 5 === 0,i % 2 !== 0,isPrime,i,i++,return
1,-,-,-,-,-,-,-,-,-
1,true,-,-,-,-,-,-,-,-
1,true,false,false,false,true,-,-,1+1,-
2,true,true,false,false,false,true,-,2+1,-
3,true,true,false,false,true,-,-,3+1,-
4,true,false,false,false,false,false,true,4+1,-
5,true,true,true,-,-,-,-,5+1,-
6,true,false,false,false,false,false,true,6+1,-
7,true,true,false,false,true,-,-,7+1,-
8,true,false,false,false,false,false,true,8+1,-
9,true,false,false,false,true,-,-,9+1,-
10,true,false,false,true,false,-,-,10+1,-
11,true,true,false,false,true,-,-,11+1,-
12,true,false,false,false,false,false,true,12+1,-
13,true,true,false,false,true,-,-,13+1,-
14,true,false,false,false,false,false,true,14+1,-
15,true,false,true,-,-,-,-,stop,"Snap, Prime, SnapPrime, 4, SnapCracklePrime, 6, SnapPrime, 8, Snap, Crackle, SnapPrime, 12, SnapPrime, 14, SnapCrackle"
,,,,,,,,,
,,,,,,,,,
